open_time,close_time,side,entry_price,exit_price,quantity,leverage,margin,pnl,pnl_pct,fees,reason,capital_after
2026-02-25T05:43:00.268Z,2026-02-25T05:44:03.867Z,SHORT,64762.40,64842.80,0.005790,15,25.00,-0.62,-2.47,0.1501,SL,499.38
2026-02-25T05:44:59.051Z,2026-02-25T05:47:36.179Z,SHORT,64809.80,64890.00,0.005779,15,24.97,-0.61,-2.46,0.1499,SL,498.77
2026-02-25T06:20:59.226Z,2026-02-25T06:21:20.728Z,LONG,64986.30,65072.80,0.005756,15,24.94,0.35,1.40,0.1497,TP,499.12
2026-02-25T06:21:59.262Z,2026-02-25T06:25:14.631Z,LONG,65076.00,65023.00,0.005752,15,24.96,-0.45,-1.83,0.1497,SL,498.66
2026-02-25T06:27:40.490Z,2026-02-25T06:29:57.961Z,LONG,65045.30,64991.60,0.005750,15,24.93,-0.46,-1.84,0.1495,SL,498.21
2026-02-25T06:31:59.419Z,2026-02-25T06:50:31.806Z,LONG,65014.40,64955.80,0.005747,15,24.91,-0.49,-1.96,0.1494,SL,497.72
2026-02-25T06:50:59.787Z,2026-02-25T06:55:56.913Z,SHORT,64909.30,64836.50,0.005751,15,24.89,0.27,1.09,0.1492,TP,497.99
2026-02-25T06:55:59.652Z,2026-02-25T06:56:20.105Z,SHORT,64829.60,64867.20,0.005761,15,24.90,-0.37,-1.47,0.1494,SL,497.62
2026-02-25T06:56:59.919Z,2026-02-25T07:01:05.149Z,SHORT,64861.90,64898.80,0.005754,15,24.88,-0.36,-1.46,0.1493,SL,497.26
2026-02-25T07:01:59.324Z,2026-02-25T07:03:03.881Z,SHORT,64881.10,64814.00,0.005748,15,24.86,0.24,0.95,0.1491,TP,497.50
2026-02-25T07:06:00.381Z,2026-02-25T07:07:20.115Z,SHORT,64841.60,64778.30,0.005754,15,24.87,0.22,0.87,0.1492,TP,497.71
2026-02-25T07:08:00.241Z,2026-02-25T07:08:42.949Z,SHORT,64765.20,64813.00,0.005764,15,24.89,-0.42,-1.71,0.1494,SL,497.29
2026-02-25T07:11:00.366Z,2026-02-25T07:12:40.212Z,LONG,64945.60,65033.70,0.005743,15,24.86,0.36,1.44,0.1493,TP,497.65
2026-02-25T07:13:00.241Z,2026-02-25T07:13:50.126Z,LONG,65048.90,65002.10,0.005738,15,24.88,-0.42,-1.68,0.1492,SL,497.23
2026-02-25T07:15:59.584Z,2026-02-25T07:21:49.499Z,LONG,65078.70,65011.90,0.005730,15,24.86,-0.53,-2.15,0.1491,SL,496.70
2026-02-25T07:23:00.133Z,2026-02-25T07:30:44.832Z,LONG,65030.60,65128.50,0.005728,15,24.83,0.41,1.66,0.1491,TP,497.11
2026-02-25T07:30:59.629Z,2026-02-25T07:35:20.321Z,LONG,65125.60,65079.00,0.005725,15,24.86,-0.42,-1.68,0.1491,SL,496.69
2026-02-25T07:36:59.419Z,2026-02-25T07:40:55.029Z,SHORT,65005.80,64910.00,0.005731,15,24.83,0.40,1.62,0.1489,TP,497.09
2026-02-25T07:40:59.474Z,2026-02-25T07:42:30.921Z,SHORT,64902.20,64956.60,0.005744,15,24.85,-0.46,-1.86,0.1492,SL,496.63
2026-02-25T07:42:58.988Z,2026-02-25T07:52:39.041Z,SHORT,64922.20,64976.30,0.005737,15,24.83,-0.46,-1.86,0.1491,SL,496.17
2026-02-25T07:57:00.089Z,2026-02-25T08:02:25.924Z,LONG,64991.00,64950.00,0.005726,15,24.81,-0.38,-1.55,0.1488,SL,495.79
2026-02-25T08:05:59.874Z,2026-02-25T08:08:16.339Z,LONG,65021.30,64981.00,0.005719,15,24.79,-0.38,-1.53,0.1487,SL,495.41
2026-02-25T08:09:59.538Z,2026-02-25T08:12:35.256Z,LONG,64998.40,64953.00,0.005716,15,24.77,-0.41,-1.65,0.1486,SL,495.00
2026-02-25T08:12:59.535Z,2026-02-25T08:15:53.092Z,SHORT,64972.00,65017.60,0.005714,15,24.75,-0.41,-1.66,0.1486,SL,494.59
2026-02-25T08:17:59.296Z,2026-02-25T08:21:37.629Z,LONG,65036.60,65110.40,0.005704,15,24.73,0.27,1.11,0.1485,TP,494.86
2026-02-25T08:22:58.862Z,2026-02-25T08:28:08.180Z,LONG,65194.00,65150.00,0.005693,15,24.74,-0.40,-1.62,0.1484,SL,494.46
2026-02-25T08:28:58.949Z,2026-02-25T08:33:44.881Z,LONG,65173.00,65246.80,0.005690,15,24.72,0.27,1.10,0.1484,TP,494.74
2026-02-25T08:33:59.832Z,2026-02-25T08:36:53.072Z,LONG,65248.40,65337.70,0.005687,15,24.74,0.36,1.46,0.1485,TP,495.09
2026-02-25T08:37:00.380Z,2026-02-25T08:38:19.785Z,LONG,65309.70,65400.00,0.005686,15,24.75,0.36,1.48,0.1486,TP,495.46
2026-02-25T08:38:59.607Z,2026-02-25T08:39:12.499Z,LONG,65420.30,65370.00,0.005680,15,24.77,-0.43,-1.76,0.1486,SL,495.03
2026-02-25T08:41:58.914Z,2026-02-25T08:53:22.729Z,LONG,65384.50,65490.50,0.005678,15,24.75,0.45,1.84,0.1486,TP,495.48
2026-02-25T08:55:00.304Z,2026-02-25T08:55:31.012Z,LONG,65548.50,65491.80,0.005669,15,24.77,-0.47,-1.90,0.1486,SL,495.01
2026-02-25T08:57:59.740Z,2026-02-25T09:10:54.224Z,LONG,65469.80,65582.20,0.005671,15,24.75,0.49,1.98,0.1486,TP,495.50
2026-02-25T09:11:59.912Z,2026-02-25T09:12:35.450Z,LONG,65572.70,65517.00,0.005667,15,24.77,-0.46,-1.88,0.1486,SL,495.03
2026-02-25T09:13:58.872Z,2026-02-25T09:16:52.199Z,LONG,65540.30,65480.10,0.005665,15,24.75,-0.49,-1.98,0.1484,SL,494.54
2026-02-25T09:18:00.788Z,2026-02-25T09:22:42.830Z,LONG,65498.50,65600.00,0.005663,15,24.73,0.43,1.73,0.1485,TP,494.97
2026-02-25T09:23:00.404Z,2026-02-25T09:23:30.035Z,LONG,65599.90,65550.10,0.005659,15,24.75,-0.43,-1.74,0.1484,SL,494.54
